Category,State / UT Name,Jail Type Sl.No.,Jail Type,Number of jails,Jail Sl.No.,Jail Name,Contact No.,VC for Remand Purpose,VC for Trial Purpose,VC for Other Purpose,Location1,Location2,Email ID
State,Bihar,2,District Jail,31,11,DJ Gopalganj,06156-224700,YES,YES,YES,Distt. Gopalganj-841428,NA,dj_gopalganj@rediffmail.com
State,Bihar,2,District Jail,31,12,DJ Hajipur,06224-275434,YES,NO,YES,Distt. Vaishali-844101,NA,dj_hajipur@rediffmail.com
State,Bihar,2,District Jail,31,13,DJ Jamui,06342-222591,YES,NO,NO,Distt. Jamui-811307,NA,dj_jamui@rediffmail.com
State,Bihar,2,District Jail,31,14,DJ Jehanabad,06453-224644,NO,NO,NO,Distt. Jehanabad-804408,NA,dj_araria@rediffmail.com
State,Bihar,2,District Jail,31,15,DJ Katihar,06114-223091,YES,NO,NO,Distt. Katihar-854105,NA,dj_katihar@rediffmail.com
State,Bihar,2,District Jail,31,16,DJ Khagaria,06244-222199,YES,NO,NO,Distt. Khagaria-851204,NA,dj_khagaria@rediffmail.com
State,Bihar,2,District Jail,31,17,DJ Kishanganj,06456-222764,NO,NO,NO,Distt. Kishanganj-855107,NA,dj_kishanganj@rediffmail.com
State,Bihar,2,District Jail,31,18,DJ Lakhisaria,06346-232262,YES,NO,NO,Distt. Lakhisarai-811311,NA,dj_lakhisaria@rediffmail.com
State,Bihar,2,District Jail,31,19,DJ Madhubani,06276-222353,NO,YES,NO,Distt. Madhubani-847211,NA,dj_madhubani@rediffmail.com
State,Bihar,2,District Jail,31,20,DJ Madhepura,06476-224782,YES,NO,NO,Distt. Madhepura-852113,NA,dj_madhepura@rediffmail.com
State,Bihar,2,District Jail,31,21,DJ Munger,06344-222214,YES,NO,NO,Distt. Munger-811201,NA,dj_munger@rediffmail.com
State,Bihar,2,District Jail,31,22,DJ Nawda,06324-212346,NO,NO,NO,Distt. Nawada-805110,NA,dj_nawada@rediffmail.com
State,Bihar,2,District Jail,31,23,DJ Phulwari Sharif,0612-2222409,YES,NO,YES,Distt. Patna-801505,NA,cj_phulwarisharif@rediffmail.com
State,Bihar,2,District Jail,31,24,DJ Saharsa,06478-222544,YES,NO,NO,Distt. Saharsa-852201,NA,dj_saharsa@rediffmail.com
State,Bihar,2,District Jail,31,25,DJ Samastipur,NA,NO,YES,NO,Distt. Samastipur-848101,NA,dj_samastipur@rediffmail.com
State,Bihar,2,District Jail,31,26,DJ Sasaram,06184-222094,YES,NO,NO,Distt. Sasaram-821115,NA,dj_araria@rediffmail.com
State,Bihar,2,District Jail,31,27,DJ Sheikhpura,06341-223613,YES,NO,NO,Distt. Sheikhpura-811105,NA,dj_sheikhpura@rediffmail.com
State,Bihar,2,District Jail,31,28,DJ Sitamarhi,06453-224644,NO,YES,NO,Distt. Sitamarhi-843301,NA,dj_sitamarhi@rediffmail.com
State,Bihar,2,District Jail,31,29,DJ Siwan,06154-242879,YES,NO,NO,Distt. Siwan-841226,NA,dj_siwan@rediffmail.com
State,Bihar,2,District Jail,31,30,DJ Sheohar,NA,NO,YES,NO,Distt. Sheohar-843329,NA,dj_sheohar@rediffmail.com
State,Bihar,2,District Jail,31,31,DJ Supaul,06473-223119,NO,NO,NO,Distt. Supaul-852131,NA,dj_supaul@rediffmail.com
State,Bihar,3,Sub Jail,17,1,S.J. Bagaha,06251-226472,NO,NO,NO,Distt. West Champaran-845105,NA,sj_bagaha@rediffmail.com
State,Bihar,3,Sub Jail,17,2,S.J. Barh,06132-244520,NO,NO,NO,Distt. Patna-803213,NA,sj_barh@rediffmail.com
State,Bihar,3,Sub Jail,17,3,S.J. Benipur,06242-222883,NO,NO,NO,Distt. Darbhanga-847301,NA,sj_benipur@rediffmail.com
State,Bihar,3,Sub Jail,17,4,S.J. Bikram Ganj,06185-222362,NO,NO,NO,Distt. Rohtas-802227,NA,sj_bikramganj@rediffmail.com
State,Bihar,3,Sub Jail,17,5,S.J. Buxar,06251-226472,YES,NO,NO,Distt. Buxar-802101,NA,sj_buxar@rediffmail.com
State,Bihar,3,Sub Jail,17,6,S.J. Dalsingsarai,06278-220218,NO,YES,NO,distt. Samastipur-848114,NA,sj_dalsingsarai@rediffmail.com
State,Bihar,3,Sub Jail,17,7,S.J. Daudanagar,NA,NO,NO,NO,Distt. Aurangabad-824113,NA,sj_daudanagar@rediffmail.com
State,Bihar,3,Sub Jail,17,8,S.J. Danapur,06115-220325,YES,NO,NO,Distt. Patna-801503,NA,sj_danapur@rediffmail.com
State,Bihar,3,Sub Jail,17,9,S.J. Hilsa,06111-252250,NO,NO,NO,Distt. Biharsharif-801302,NA,sj_hilsa@rediffmail.com
State,Bihar,3,Sub Jail,17,10,S.J. Jhanjharpur,06273-223989,NO,YES,NO,Distt. Madhubani-852123,NA,sj_jhanjharpur@rediffmail.com
State,Bihar,3,Sub Jail,17,11,S.J. Masaurhi,0612-243410,NO,NO,NO,Distt. Patna-804452,NA,sj_masaurhi@rediffmail.com
State,Bihar,3,Sub Jail,17,12,S.J. Nawagachiya,06421-223302,YES,NO,NO,Distt. Bhagalpur-853204,NA,sj_nawagachiya@rediffmail.com
State,Bihar,3,Sub Jail,17,13,S.J. Patna City,0612-2630010,YES,NO,NO,Distt. Patna-800008,NA,sj_patnacity@rediffmail.com
State,Bihar,3,Sub Jail,17,14,S.J. Rosera,06275-223595,NO,YES,NO,Distt. Samastipur-848114,NA,sj_rosera@rediffmail.com
State,Bihar,3,Sub Jail,17,15,S.J. Sherghati,06326-223771,YES,NO,NO,Distt. Gaya-823001,NA,sj_sherghati@rediffmail.com
State,Bihar,3,Sub Jail,17,16,S.J. Virpur,06471-222151,NO,NO,NO,Distt. Supaul-854340,NA,sj_virpur@rediffmail.com
State,Bihar,3,Sub Jail,17,17,S.J. Udakishunganj,06476-224782,NO,NO,NO,Distt. Madhepura-852113,NA,subjail.udakishunganj@gmail.com
State,Bihar,4,Women Jail,1,1,DJ Women Bhagalpur,0641-2611751,NO,NO,NO,Distt. Bhagalpur-812001,NA,fdj_bhagalpur@rediffmail.com
State,Bihar,5,Open Jail,1,1,Open Jail Buxar,9431154422,NO,NO,NO,Distt. Buxar-802101,NA,cj_openbuxar@rediffmail.com
State,Bihar,6,Special Jail,1,1,"Spl. Central Jail, Bhagalpur",0641-2610152,YES,YES,NO,NA,NA,cj_bhagalpur@rediffmail.com
State,Chhattisgarh,1,Central Jail,5,1,Central Jail Raipur,"0771-2886027, 2886313",YES,YES,YES,"Central Jail Raipur, C.G.",NA,raipurjail@gmail.com
State,Chhattisgarh,1,Central Jail,5,2,Central Jail Jagdalpur,07782-222329/221390,YES,YES,YES,"Jail Colony, Central Jail Jagdalpur, C.G.",NA,jdrjail@gmail.com
State,Chhattisgarh,1,Central Jail,5,3,Central Jail Bilaspur,07752-224090/228795,YES,YES,YES,"Central Jail Bilaspur, C.G.",NA,centraljailbilaspur@yahoo.com
State,Chhattisgarh,1,Central Jail,5,4,Central Jail Ambikapur,07774-236165/222497,NO,YES,NO,"Jail Colony, Central jail Ambikapur, C.G.",NA,cjambikapur@gmail.com
State,Chhattisgarh,1,Central Jail,5,5,Central Jail Durg,0788-2322964,NO,YES,NO,"Jail Colony, Central Jail Durg, C.G.",NA,centraljail-durg.cg@nic.in
State,Chhattisgarh,2,District Jail,11,1,Dist. Jail Mahasamund,07723-222307,YES,YES,NO,Dist. Mahasamund C.G.,NA,distjail-msd@gmail.com
State,Chhattisgarh,2,District Jail,11,2,Dist. Jail Dhamtari,07722-233155,YES,YES,NO,Distt. Dhamtari C.G.,NA,disttjaildhamtari@gmail.com
State,Chhattisgarh,2,District Jail,11,3,Dist. Jail Kanker,07868-241168,YES,YES,YES,District Jail Kanker C.G.,NA,sdjkanker@gmail.com
State,Chhattisgarh,2,District Jail,11,4,Dist. Jail Dantewada,07856-252216,NO,YES,NO,Dist. Jail Dantewada C.G.,NA,jail.dantewada@gmail.com
State,Chhattisgarh,2,District Jail,11,5,Dist. Jail Raigarh,07762-222818,YES,YES,YES,Dist. Jail Raigarh C.G.,NA,disttjrgh@gmail.com
State,Chhattisgarh,2,District Jail,11,6,Dist. Jail Korba,07759-223666/228068,YES,YES,YES,Dist. Jail Korba C.G.,NA,disttjailkorba@gmail.com
State,Chhattisgarh,2,District Jail,11,7,Dist. Jail Janjgir,07817-222030,YES,YES,YES,Dist. Jail Jangir C.G.,NA,disttjail.jangir@gmail.com
State,Chhattisgarh,2,District Jail,11,8,Dist. Jail Jashpur,07763-223235,NO,NO,NO,Dist. Jail Jashpur C.G.,NA,jilajailjashpur@gmail.com
State,Chhattisgarh,2,District Jail,11,9,Dist. Jail Baikunthpur,07836-232229,NO,NO,NO,Dist. Jail Baikunthpur C.G.,NA,jilajailbkp@gmail.com
State,Chhattisgarh,2,District Jail,11,10,Dist. Jail Rajnandgaon,07744-224028,YES,YES,NO,Dist. Jail Rajnandgaon C.G.,NA,distt.jailrjnd@gmail.com
State,Chhattisgarh,2,District Jail,11,11,Dist. Jail Kabirdham,07741-299123,NO,YES,NO,Dist. Jail Kabirdham Dist. Kawardha C.G.,NA,subjailkabirdham@gmail.com
State,Chhattisgarh,3,Sub Jail,12,1,Sub Jail Balodabazar,07727-222877,YES,YES,YES,"Sub Jail Balodabazar, Dist. Balodabazar C.G.",NA,subjailbalodabazar@gmail.com
State,Chhattisgarh,3,Sub Jail,12,2,Sub Jail Gariaband,9479107715,YES,YES,YES,"Sub Jail Gariyaband, Dist. Gariaband",NA,jailgariaband@gmail.com
State,Chhattisgarh,3,Sub Jail,12,3,Sub Jail Pendraroad,07751-220760,YES,YES,YES,"Sub Jail Pendraroad, Dist. Bilaspur, C.G.",NA,jailgariaband@gmail.com
State,Chhattisgarh,3,Sub Jail,12,4,Sub Jail Katghora,07815-250123,YES,YES,YES,"Sub Jail Katghora, Dist. Korba C.G.",NA,subjail.katghora@gmail.com
State,Chhattisgarh,3,Sub Jail,12,5,Sub Jail Sarangarh,07768-233080,YES,YES,YES,"Sub Jail Sarangarh, Dist. Raigarh C.G.",NA,subjail.sarangarh@gmail.com
State,Chhattisgarh,3,Sub Jail,12,6,Sub Jail Sakti,07757-204230,YES,YES,YES,"Sub Jail Sakti, Dist. Janjgir C.g.",NA,subjailsakti@gmail.com
State,Chhattisgarh,3,Sub Jail,12,7,Sub Jail Surajpur,07775-266493,NO,NO,NO,Sub Jail Surajpur Dist. Surajpur C.g.,NA,spr.sub.jail@gmail.com
State,Chhattisgarh,3,Sub Jail,12,8,Sub Jail Ramanujganj,07779-276355/276382,NO,NO,NO,Sub jail Ramanujganj Dist. Ramanujganj D.g.,NA,sjrganj355@gmail.com
State,Chhattisgarh,3,Sub Jail,12,9,Sub Jail Manendragarh,07771-203586/241016,NO,NO,NO,Sub Jail Dist. Manendragarh C.G.,NA,subjailmanendragarh@gmail.com
State,Chhattisgarh,3,Sub Jail,12,10,Sub Jail Dongargarh,07823-232942,YES,NO,NO,"Sub Jail Dongargarh, Dist. Rajnangaon C.G.",NA,subjaildongargarh@gmail.com
State,Chhattisgarh,3,Sub Jail,12,11,Sub Jail Sanjari-Balod,07749-222232,YES,YES,YES,Sub Jail Balod Dist. Rajnangaon C.g.,NA,balodsubjail@gmail.com
State,Chhattisgarh,3,Sub Jail,12,12,Sub Jail Bemetara,07824-206335/222436,YES,YES,NO,Sub Jail Bemetara Dist. Bemetara C.G.,NA,subjailbemetar@gmail.com
State,Goa,1,Central Jail,1,1,Modern Central Jail Colvale Goa,9372999167,YES,YES,NO,"Central Jail, Aguada",NA,NA
State,Goa,2,Sub Jail,1,1,"Sub Jail Cum Judicial Lockup, Sada, Vasco",8322520081,NO,YES,NO,"Sub Jail cum Judicial Lockup, Sada, Vasco",NA,NA
State,Goa,3,Women Jail,1,1,"Sub jail cum Judicial Luckup, Sada, Vasco",8322520081,NO,YES,NO,"Sub jail cum judicial luckup, Sada, Vasco",NA,NA
State,Gujarat,1,Central Jail,4,1,Ahmedabad Central Prison,079-27521692,NO,YES,NO,"Ahmedabad Central Prison, Jail Road, Sabarmati",Ahmedabad-380027,NA
State,Gujarat,1,Central Jail,4,2,Vadodara Central Prison,0265-2410772,NO,YES,NO,"Vadodara Central Prison, Opp Narmada Bhavan,","Indira Avenue Road, Vadodara-394220",NA
State,Gujarat,1,Central Jail,4,3,Rajkot Central Prison,0281-2451007,NO,YES,NO,"Rajkot Central Prison, Popatpara Road,",Rajkot-360001,NA
State,Gujarat,1,Central Jail,4,4,Lajpor Central Prison,0261-2393101,NO,YES,NO,"Lajpor Surat, Central Prison, Nr. Lajpore Village","Navsari Road, Lajpur Dist. Surat-395002",NA
State,Gujarat,2,District Jail,7,1,Junagarh Dist. Prison,0285-2620128,NO,YES,NO,"Junagadh Dist. Prison, Station Road,",Junagadh-362001,NA
State,Gujarat,2,District Jail,7,2,Bhavnagar Dist. Prison,0278-2423228,NO,YES,NO,"Bhavnagar Dist. Prison, Nr. A Div. Police Station",Bhavnagar-364001,NA
State,Gujarat,2,District Jail,7,3,Jamnagar Dist. Prison,0288-2670355,NO,YES,NO,"Jamnagar Dist. Prison, Nr. Pavan Chakki,",Jamnagar-361001,NA
State,Gujarat,2,District Jail,7,4,Nadiad Dist. Prison,0268-2566462,NO,YES,NO,"Nadiad Dist. Prison, AT&PO Bilodara, Ta. Nadiad",Dist. Kheda-382831,NA
State,Gujarat,2,District Jail,7,5,Palanpur Dist. Prison,02742-253999,NO,YES,NO,"Palanpur Dist. Prison, Nr. Police Head Qtrs.,","Palanpur, Dist. Banaskantha-385001",NA
State,Gujarat,2,District Jail,7,6,Mehsana Dist. Prison,02762-251103,NO,YES,NO,"Mehsana Dist. Prison, Dudhsagar Dairy Road,",Mehsana-384001,NA
State,Gujarat,2,District Jail,7,7,Amreli Dist. Prison,02792-220276,NO,YES,NO,"Amreli Dist. Prison, Tarwadi, Amreli",dist. Amreli-365001,NA
State,Gujarat,3,Sub Jail,11,1,Surendranagar Sub Jail,02752-283819,NO,YES,NO,"Surendranagar Sub Jail, Tagore Baugh Road",Surendranagar-363001,NA
State,Gujarat,3,Sub Jail,11,2,Bharuch Sub Jail,02642-240083,NO,YES,NO,"Bharuch Sub Jail, Mahamdpura",Bharuch-392001,NA
State,Gujarat,3,Sub Jail,11,3,Chhotaudepur Sub Jail,02669-232082,NO,NO,NO,"Chhotaudepur Sub Jail, Nr. Police Line","Kwant Road, Ta. Chhotaudepur, Dist. Vaddoara",NA
State,Gujarat,3,Sub Jail,11,4,Rajpipla Sub Jail,02640-224483,NO,YES,NO,"Rajpipla Sub Jail, Nr. Old Bus Stand, Soni Bazar","Rajpipla, Dist. Narmada-393146",NA
State,Gujarat,3,Sub Jail,11,5,Himatnagar Sub Jail,02772-240855,NO,YES,NO,"Himatnagar Sub Jail, Nr. Police Head Qtr.",Himatnagar Dist. Sabarkantha-383001,NA
State,Gujarat,3,Sub Jail,11,6,Navsari Sub Jail,02637-258020,NO,YES,NO,"Navsari Sub Jail, Lunsikui Ground",Navsari-396445,NA
State,Gujarat,3,Sub Jail,11,7,Morbi Sub Jail,02822-220288,NO,NO,NO,"Morbi Sub Jail, Nr. Police Station",Morbi Dist. Rajkot-363641,NA
State,Gujarat,3,Sub Jail,11,8,Gondal Sub Jail,02825-295064,NO,YES,NO,"Gondal Sub Jail, Gondal, Dist. Rajkot-360311",NA,NA
State,Gujarat,3,Sub Jail,11,9,Modasa Sub Jail,02774-224255,NO,NO,NO,"Modasa Sub Jail, Modasa Dist. Sabarkantha-383315",NA,NA
State,Gujarat,3,Sub Jail,11,10,Godhara Sub Jail,02672-240145,NO,YES,NO,"Godhra Sub Jail, Nr. Town Police Station","Godhra, Dist. Panchmahal-389001",NA
State,Gujarat,3,Sub Jail,11,11,Patan Sub Jail,02766-291321,NO,YES,NO,"Patan Sub Jail, Dist. Patan",NA,NA
State,Gujarat,4,Women Jail,1,1,Vadodara Women Jail,0265-2410632,NO,NO,NO,"Vadodara Central Prison, Opp. Narmada Bhavan,","Indira Avenue Road, Vadodara Op S S Hospital",NA
State,Gujarat,5,Open Jail,2,1,Ahmedabad Open Jail,079-27521692,NO,NO,NO,"Ahmedabad Central Prison, Jail Road,","Sabarmati, Ahmedabad-380027",NA
State,Gujarat,5,Open Jail,2,2,Amreli Open Jail,02792-223569,NO,NO,NO,"Amreli Open Prison, Tarwadi,","Amreli, Dist. Amreli-365001",NA
State,Gujarat,6,Special Jail,2,1,Palara Special Jail,02832-244048,NO,YES,NO,"Palara (Bhuj) Special Prison, Khavda Road,",Dist. Kutchh Bhuj,NA
State,Gujarat,6,Special Jail,2,2,Porbandar Special Jail,0286-2242510,NO,YES,NO,"Porbandar Special Prison, Nr. Kamla Baugh",Porbandar-360575,NA
State,Haryana,1,Central Jail,3,1,Central Jail Ambala,1712552296,YES,YES,YES,"Opp Jail Land Sec-1, Ambala City",NA,supdtamb.jail@hry.nic.in
State,Haryana,1,Central Jail,3,2,Central Jail Hisar 1,1662235959,YES,YES,YES,Central Jail Hisar Hisar to Delhi High Way,NA,supdthsr.jail@hry.nic.in
State,Haryana,1,Central Jail,3,3,Central Jail II,1662254431,YES,YES,YES,Rajgarh Road Hisar,NA,supdtjvnlhsr.jail@hry.nic.in
State,Haryana,2,District Jail,16,1,District Jail Karnal,1842294001,YES,YES,YES,"Kaithal Road, Karnal",NA,supdtkrl.jail@hry.nic.in
State,Haryana,2,District Jail,16,2,District Jail Gurgaon,1242266556,YES,YES,YES,D J. Gurgaon at Bhondasi,NA,supdtgrg.jail@hry.nic.in
State,Haryana,2,District Jail,16,3,District Jail Yamunanagar,1732212266,YES,YES,YES,"Bilaspur Road, Jagadhari Yamunanagar",NA,supdtjagadhari.jail@hry.nic.in
State,Haryana,2,District Jail,16,4,District Jail Kurukshetra,1744231516,YES,YES,YES,"Near Police Line, Pipli Kurukshetra Raod",NA,supdtkrk.jail@hry.nic.in
State,Haryana,2,District Jail,16,5,District Jail Kaithal,1746232382,YES,YES,YES,Dogra Gate Kaithal,NA,supdtktl.jail@hry.nic.in
State,Haryana,2,District Jail,16,6,District Jail Jind,1681245224,YES,YES,YES,Jind to Rohtak near Police Line Jind,NA,supdtjnd.jail@hry.nic.in
State,Haryana,2,District Jail,16,7,District Jail Sirsa,1666247885,YES,YES,YES,Barnala Road Sirsa,NA,supdtsrs.jail@hry.nic.in
State,Haryana,2,District Jail,16,8,District Jail Bhiwani,1664248787,YES,YES,YES,"Bhiwani to Hisar Road, Bhiwani",NA,supdtbhw.jail@hry.nic.in
State,Haryana,2,District Jail,16,9,District Jail Panipat,1802657294,YES,YES,YES,"Old Court Premises, District Jail Panipat",NA,supdtpnp.jail@hry.nic.in
State,Haryana,2,District Jail,16,10,District Jail Palwal,1275244755,YES,YES,YES,Palwal _ Mathura NH-2 at Palwal,NA,supdtpalwal.jail@hry.nic.in
State,Haryana,2,District Jail,16,11,District Jail Sonepat,1302221717,YES,YES,YES,"Gohana Road, Near Police Line Sonepat",NA,supdtsnp.jail@hry.nic.in
State,Haryana,2,District Jail,16,12,District Jail Jhajjar,1251215277,YES,YES,YES,Infront of sehwag international school on Jhajjar,to Gurgaon main road,supdtjhajjar.jail@gmail.com
State,Haryana,2,District Jail,16,13,District Jail Rewari,1274222159,YES,YES,YES,"Old Court Road, Rewari",NA,supdtrwr.jail@hry.nic.in
State,Haryana,2,District Jail,16,14,District Jail Faridabad,1292401400,YES,YES,YES,Village neemka Faridabad,NA,supdtblbg.jail@hry.nic.in
State,Haryana,2,District Jail,16,15,District Jail Rohtak,1262268408,YES,YES,YES,District Jail Rohtak at Sunariya,NA,supdtroh.jail@hry.nic.in
State,Haryana,2,District Jail,16,16,District Jail Narnaul,1282261400,YES,YES,YES,D J Gurgaon at Mohindergarh,NA,supdtnrl.jail@hry.nic.in
State,Himachal Pradesh,1,Central Jail,2,1,M C jail Kanda,1772774610,YES,NO,YES,"Model Central Jail Kanda, Distt. Shimla HP",NA,mcjail-shi-hp@nic.in
State,Himachal Pradesh,1,Central Jail,2,2,M C Jail Nahan,1702222237,YES,YES,NO,"Model Central Jail Nahan, Dist Sirmour HP",NA,NA
State,Himachal Pradesh,2,District Jail,2,1,Dist & Open Air Jail Dharmshala,01892-223125,YES,YES,YES,"Dist and Open Air Jail Dharmshala, Dist Kangra, HP",NA,djail-kan-hp@nic.in
State,Himachal Pradesh,2,District Jail,2,2,Dist & Open Air Jail Chamba,01899-237222,YES,NO,YES,"Dist and Open Air Jail Chamba, Dist Chamba, HP",NA,djail-cha-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,1,Sub Jail Mandi,01905-222185,YES,NO,NO,"Sub Jail Mandi, Dist Mandi, HP",NA,subjail-man-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,2,Sub Jail Solan,01792-231435,NO,YES,NO,"Sub Jail Solan, Dist, Solan HP",NA,subjail-sol-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,3,Sub Jail Una,01975-226024,YES,YES,YES,Sub Jail Una,NA,subjail-una-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,4,Sub Jail Hamirpur,01972-258151,YES,YES,YES,Sub Jail Hamirpur,NA,subjail-ham-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,5,Sub Jail Nurpur,01893-220711,NO,NO,NO,Sub Jail Nurpur,"Dist. Kangra, HP",subjail-nur-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,6,Sub Jail Kaithu,0177-2804151,YES,NO,NO,"AC to DC cum Supdt. Jail Sub Jail, Kaithu (Shimla)",NA,subjail-shi-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,7,Sub Jail Kullu,01902-222264,YES,NO,YES,Sub Jail Kullu,NA,subjail-kul-hp@nic.in
State,Himachal Pradesh,3,Sub Jail,8,8,Sub Jail Bilaspur,01978-222316,NO,NO,YES,"Open Air Jail, Bilaspur HP",NA,oaj-bil-hp@nic.in
State,Himachal Pradesh,4,Borstal School,1,1,Borstal Jail Mandi,01905-222185,YES,NO,YES,"Sub Jail Mandi, Dist. Mandi, HP",NA,subjail-man-hp@nic.in
State,Himachal Pradesh,5,Open Jail,7,1,Sub Jail Bilaspur,01978-222316,NO,NO,YES,"Open Air Jail, Bilaspur, HP",NA,oaj-bil-hp@nic.in
State,Himachal Pradesh,5,Open Jail,7,2,M.C. Jail Kanda,1772774610,YES,NO,YES,Model Central Jail Kanda Dist. Shimla,NA,mcjailshi-hp@nic.in
State,Himachal Pradesh,5,Open Jail,7,3,M.C. Jail Nahan,170222237,NO,NO,NO,Model Central Jail Nahan Dist. Sirmour,NA,prisonnhn-hp@nic.in
State,Himachal Pradesh,5,Open Jail,7,4,Dharmshala,01892-223125,NO,NO,NO,Dist. & Open Air Jail Dharmshala Dist. Kangra,NA,djail-kan-hp@nic.in
State,Himachal Pradesh,5,Open Jail,7,5,Chamba,01899-237222,NO,NO,NO,"Dist. & Open Air Jail Chamba, Dist. Chamba",NA,djail-cha-hp@nic.in
State,Himachal Pradesh,5,Open Jail,7,6,Mandi,01905-222185,NO,NO,NO,Sub Jail mandi Dist. Mandi,NA,subjail-man-hp@nic.in
State,Himachal Pradesh,5,Open Jail,7,7,Solan,01792-231435,NO,NO,NO,"Sub Jail Solan, Dist. Solan",NA,subjail-sol-hp@nic.in
State,Jammu & Kashmir,1,Central Jail,2,1,Kotbhalwal Jammu,0191-2623975,NO,NO,NO,Central Jail Kotbhalwal Jammu Village Kotbhalwal,NA,NA
State,Jammu & Kashmir,1,Central Jail,2,2,Central Jail Srinagar,0194-2423514,NO,NO,NO,"Central Jail Srinagar, Kathi Darwaza, Rainawari",Srinagar-190003,NA
State,Jammu & Kashmir,2,District Jail,10,1,District Jail Jammu,0191-2579328,NO,NO,NO,District Jail Jammu Amphalla Jammu-180005,NA,NA
State,Jammu & Kashmir,2,District Jail,10,2,District Jail Udhampur,01992-270332,NO,NO,NO,District Jail Udhampur Kapri Morh,Udhampur,NA
State,Jammu & Kashmir,2,District Jail,10,3,District Jail Rajouri,01962-259031,NO,NO,NO,District Jail Rajouri Village Dhangri Rajouri,NA,NA
State,Jammu & Kashmir,2,District Jail,10,4,District Jail Leh,01982-264128,NO,NO,NO,"District Jail Leh, Choglamsar Leh-194101",NA,NA
State,Jammu & Kashmir,2,District Jail,10,5,District Jail Kathua,01922-234771,NO,NO,NO,"District Jail Kathua, Ward No.2, Kathua-184101",NA,NA
State,Jammu & Kashmir,2,District Jail,10,6,District Jail Anantnag,1932237004,NO,NO,NO,District Jail Anantnag Mattan Keheribal Anantnag,NA,NA
State,Jammu & Kashmir,2,District Jail,10,7,District Jail Poonch,01965-220380,NO,NO,NO,District Jail Poonch Parade Ground Poonch-185101,NA,NA
State,Jammu & Kashmir,2,District Jail,10,8,District Jail Baramulla,01952-234524,NO,NO,NO,District Jail Baramulla Khawaja Bagh Baramulla,NA,NA
State,Jammu & Kashmir,2,District Jail,10,9,District Jail Kishtwar,01995-259879,NO,NO,NO,District Jail Kishtwar Pushal Mohalla Pocchal,NA,NA
State,Jammu & Kashmir,2,District Jail,10,10,District Jail Kupwara,01955-252037,NO,NO,NO,District Jail Kupwara Doodwan Kupwara-193222,NA,NA
State,Jammu & Kashmir,3,Sub Jail,2,1,Sub Jail Reasi,01991-244284,NO,NO,NO,Sub Jail Reasi Ward No.4 Reasi-182311,NA,NA
State,Jammu & Kashmir,3,Sub Jail,2,2,Sub Jail Hiranagar,01922-274231,NO,NO,NO,sub Jail Hiranagar Ward No.2 Hiranagar-184142,NA,NA
State,Jharkhand,1,Central Jail,5,1,"Birsa Munda Central Jail, Hotwar, Ranchi",0651-2276060,YES,YES,YES,"Birsa Munda Central Jail, Hotwar, Ranchi",PO Hotwar Dist. Ranchi-835217,jailsuperintendent.ranchi@gmail.com
State,Jharkhand,1,Central Jail,5,2,"Loknayak Jaiprakash Narayan C. Jail, Hazaribagh",06546-263408,YES,YES,YES,"Loknayak Jaiprakash Narayan C. Jail, Hazaribagh","Vill Kolhaghatti-1, PO Reformatory School",prisonhzb@gmail.com
State,Jharkhand,1,Central Jail,5,3,Central Jail Dumka,06434-236184,YES,YES,YES,"Central Jail, Dumka, PO Dumka",Dist. Dumka-814101,dmkjls@gmail.com
State,Jharkhand,1,Central Jail,5,4,"Central Jail, Ghaghidih, Jamshedpur",0657-2298489,YES,YES,YES,"Central Jail Ghaghidih, Jamshedpur","PO Karandih, Dist. East Singhbhum Jamshedpur",ghaghidihjail@gmail.com
State,Jharkhand,1,Central Jail,5,5,"Central Jail, Medinanagar, Palamu",06562-222725,YES,YES,YES,"Central Jail, Medinanagar, Palamu, PO Daltonganj","Dist. Medininagar, Palamu-822101",supt.dal@gmail.com
State,Jharkhand,2,District Jail,17,1,"Dist. Jail, Giridih",06532-244086,YES,YES,YES,"Dist. Jail Giridih, Po Budhanabad, Dist. Giridih",NA,prisongrd@gmail.com
State,Jharkhand,2,District Jail,17,2,Dist. Jail Dhanbad,0326-2311715,YES,YES,YES,"PO Hirapur, Dist. Dhanbad-826001",NA,prisondhn@gmail.com
State,Jharkhand,2,District Jail,17,3,Dist. Jail Chaibasa,06582-256502,YES,YES,YES,"Dist. Jail Chaibasa, PO Chaibasa, Dist. Chaibasa",NA,sj.chaibasa@gmail.com
State,Jharkhand,2,District Jail,17,4,Dist. Jail Deoghar,06432-222866,YES,YES,NO,"Dist. Jail Deoghar, PO Deoghar, Dist. Deoghar",NA,sj.deoghar@gmail.com
State,Jharkhand,2,District Jail,17,5,dist. Jail Sahebganj,06436-222546,YES,YES,YES,"Dist. Jail Sahebganj, PO Sahebganj,",Dist. Sahebganj-816109,sbgjail@gmail.com
