state_name,is_state,year,gender,sentence_period,age_16_18_years,age_18_30_years,age_30_50_years,age_50_above
Manipur,1,2006,Male,Capital Punishment,0,0,0,0
Manipur,1,2006,Male,Life Imprisonment,0,1,11,12
Manipur,1,2006,Male,10-13 Plus years,0,0,3,3
Manipur,1,2006,Male,7-9 Plus years,0,0,1,0
Manipur,1,2006,Male,5-6 Plus years,0,0,1,0
Manipur,1,2006,Male,2-4 Plus years,0,0,1,0
Manipur,1,2006,Male,1 Less than 2 years,0,0,0,0
Manipur,1,2006,Male,6 months less than 1 Yr.,0,0,0,0
Manipur,1,2006,Male,3 - 6 months,0,0,0,0
Manipur,1,2006,Male,Less than 3 months,0,0,0,0
Manipur,1,2007,Male,Capital Punishment,0,0,0,0
Manipur,1,2007,Male,Life Imprisonment,0,0,10,13
Manipur,1,2007,Male,10-13 Plus years,0,0,5,3
Manipur,1,2007,Male,7-9 Plus years,0,0,1,0
Manipur,1,2007,Male,5-6 Plus years,0,0,1,0
Manipur,1,2007,Male,2-4 Plus years,0,0,0,1
Manipur,1,2007,Male,1 Less than 2 years,0,0,1,0
Manipur,1,2007,Male,6 months less than 1 Yr.,1,11,4,0
Manipur,1,2007,Male,3 - 6 months,0,0,0,0
Manipur,1,2007,Male,Less than 3 months,0,1,4,0
Manipur,1,2008,Male,Capital Punishment,0,0,1,0
Manipur,1,2008,Male,Life Imprisonment,0,0,11,12
Manipur,1,2008,Male,10-13 Plus years,0,0,4,2
Manipur,1,2008,Male,7-9 Plus years,0,0,2,0
Manipur,1,2008,Male,5-6 Plus years,0,0,0,0
Manipur,1,2008,Male,2-4 Plus years,0,0,1,0
Manipur,1,2008,Male,1 Less than 2 years,0,0,0,0
Manipur,1,2008,Male,6 months less than 1 Yr.,0,0,1,0
Manipur,1,2008,Male,3 - 6 months,0,0,1,0
Manipur,1,2008,Male,Less than 3 months,0,0,1,0
Manipur,1,2009,Male,Capital Punishment,0,0,1,0
Manipur,1,2009,Male,Life Imprisonment,0,0,11,11
Manipur,1,2009,Male,10-13 Plus years,0,0,5,2
Manipur,1,2009,Male,7-9 Plus years,0,0,0,0
Manipur,1,2009,Male,5-6 Plus years,0,0,0,0
Manipur,1,2009,Male,2-4 Plus years,0,0,0,0
Manipur,1,2009,Male,1 Less than 2 years,0,0,0,0
Manipur,1,2009,Male,6 months less than 1 Yr.,0,0,0,0
Manipur,1,2009,Male,3 - 6 months,0,3,1,0
Manipur,1,2009,Male,Less than 3 months,0,0,0,0
Manipur,1,2010,Male,Capital Punishment,0,0,1,0
Manipur,1,2010,Male,Life Imprisonment,0,0,6,15
Manipur,1,2010,Male,10-13 Plus years,0,0,3,2
Manipur,1,2010,Male,7-9 Plus years,0,0,0,0
Manipur,1,2010,Male,5-6 Plus years,0,0,1,0
Manipur,1,2010,Male,2-4 Plus years,0,0,0,0
Manipur,1,2010,Male,1 Less than 2 years,0,0,0,0
Manipur,1,2010,Male,6 months less than 1 Yr.,0,0,0,0
Manipur,1,2010,Male,3 - 6 months,0,3,0,0
Manipur,1,2010,Male,Less than 3 months,0,0,0,0
Manipur,1,2011,Male,Capital Punishment,0,0,0,0
Manipur,1,2011,Male,Life Imprisonment,0,0,7,12
Manipur,1,2011,Male,10-13 Plus years,0,0,3,0
Manipur,1,2011,Male,7-9 Plus years,0,0,0,0
Manipur,1,2011,Male,5-6 Plus years,0,0,0,0
Manipur,1,2011,Male,2-4 Plus years,0,0,1,0
Manipur,1,2011,Male,1 Less than 2 years,0,0,0,0
Manipur,1,2011,Male,6 months less than 1 Yr.,0,0,1,0
Manipur,1,2011,Male,3 - 6 months,0,4,3,0
Manipur,1,2011,Male,Less than 3 months,0,0,0,0
Manipur,1,2012,Male,Capital Punishment,0,0,0,0
Manipur,1,2012,Male,Life Imprisonment,0,1,8,11
Manipur,1,2012,Male,10-13 Plus years,0,0,3,0
Manipur,1,2012,Male,7-9 Plus years,0,0,0,0
Manipur,1,2012,Male,5-6 Plus years,0,0,0,1
Manipur,1,2012,Male,2-4 Plus years,0,7,16,0
Manipur,1,2012,Male,1 Less than 2 years,0,0,0,0
Manipur,1,2012,Male,6 months less than 1 Yr.,0,0,0,0
Manipur,1,2012,Male,3 - 6 months,0,6,3,0
Manipur,1,2012,Male,Less than 3 months,0,5,2,0
Meghalaya,1,2001,Male,Capital Punishment,0,0,0,0
Meghalaya,1,2001,Male,Life Imprisonment,0,1,3,0
Meghalaya,1,2001,Male,10-13 Plus years,0,0,4,1
Meghalaya,1,2001,Male,7-9 Plus years,0,0,1,0
Meghalaya,1,2001,Male,5-6 Plus years,0,0,0,0
Meghalaya,1,2001,Male,2-4 Plus years,0,0,1,0
Meghalaya,1,2001,Male,1 Less than 2 years,0,2,0,0
Meghalaya,1,2001,Male,6 months less than 1 Yr.,0,1,0,0
Meghalaya,1,2001,Male,3 - 6 months,0,0,0,0
Meghalaya,1,2001,Male,Less than 3 months,0,0,0,0
Meghalaya,1,2002,Male,Capital Punishment,0,0,0,0
Meghalaya,1,2002,Male,Life Imprisonment,0,2,7,0
Meghalaya,1,2002,Male,10-13 Plus years,0,4,0,0
Meghalaya,1,2002,Male,7-9 Plus years,0,0,2,0
Meghalaya,1,2002,Male,5-6 Plus years,0,0,2,0
Meghalaya,1,2002,Male,2-4 Plus years,0,1,0,0
Meghalaya,1,2002,Male,1 Less than 2 years,0,0,0,0
Meghalaya,1,2002,Male,6 months less than 1 Yr.,0,0,0,0
Meghalaya,1,2002,Male,3 - 6 months,0,0,0,0
Meghalaya,1,2002,Male,Less than 3 months,0,1,1,0
Meghalaya,1,2003,Male,Capital Punishment,0,0,0,0
Meghalaya,1,2003,Male,Life Imprisonment,0,0,7,0
Meghalaya,1,2003,Male,10-13 Plus years,0,0,2,0
Meghalaya,1,2003,Male,7-9 Plus years,0,0,0,0
Meghalaya,1,2003,Male,5-6 Plus years,0,2,2,0
Meghalaya,1,2003,Male,2-4 Plus years,0,6,2,0
Meghalaya,1,2003,Male,1 Less than 2 years,0,3,9,0
Meghalaya,1,2003,Male,6 months less than 1 Yr.,0,2,4,0
Meghalaya,1,2003,Male,3 - 6 months,0,0,0,0
Meghalaya,1,2003,Male,Less than 3 months,0,0,0,0
Meghalaya,1,2004,Male,Capital Punishment,0,0,0,0
Meghalaya,1,2004,Male,Life Imprisonment,0,1,9,0
Meghalaya,1,2004,Male,10-13 Plus years,0,3,3,0
Meghalaya,1,2004,Male,7-9 Plus years,0,2,0,0
Meghalaya,1,2004,Male,5-6 Plus years,0,1,4,0
Meghalaya,1,2004,Male,2-4 Plus years,0,2,3,2
Meghalaya,1,2004,Male,1 Less than 2 years,0,9,0,0
Meghalaya,1,2004,Male,6 months less than 1 Yr.,0,2,0,0
Meghalaya,1,2004,Male,3 - 6 months,0,0,0,0
Meghalaya,1,2004,Male,Less than 3 months,0,0,0,0
Meghalaya,1,2005,Male,Capital Punishment,0,0,0,0
Meghalaya,1,2005,Male,Life Imprisonment,0,1,9,0
Meghalaya,1,2005,Male,10-13 Plus years,0,0,4,0
Meghalaya,1,2005,Male,7-9 Plus years,0,0,4,0
Meghalaya,1,2005,Male,5-6 Plus years,0,4,5,0
Meghalaya,1,2005,Male,2-4 Plus years,0,4,1,0
Meghalaya,1,2005,Male,1 Less than 2 years,0,3,0,0
Meghalaya,1,2005,Male,6 months less than 1 Yr.,0,0,0,0
Meghalaya,1,2005,Male,3 - 6 months,0,0,0,0
Meghalaya,1,2005,Male,Less than 3 months,0,7,0,0
Meghalaya,1,2006,Male,Capital Punishment,0,0,0,0
Meghalaya,1,2006,Male,Life Imprisonment,0,4,10,4
Meghalaya,1,2006,Male,10-13 Plus years,0,2,8,2
Meghalaya,1,2006,Male,7-9 Plus years,0,2,5,1
Meghalaya,1,2006,Male,5-6 Plus years,0,1,6,0
Meghalaya,1,2006,Male,2-4 Plus years,0,3,5,0
Meghalaya,1,2006,Male,1 Less than 2 years,0,1,1,0
Meghalaya,1,2006,Male,6 months less than 1 Yr.,0,1,0,0
Meghalaya,1,2006,Male,3 - 6 months,0,0,0,0
Meghalaya,1,2006,Male,Less than 3 months,0,0,0,0
Meghalaya,1,2007,Male,Capital Punishment,0,3,0,0
Meghalaya,1,2007,Male,Life Imprisonment,0,1,11,0
Meghalaya,1,2007,Male,10-13 Plus years,0,2,16,0
Meghalaya,1,2007,Male,7-9 Plus years,0,0,7,0
Meghalaya,1,2007,Male,5-6 Plus years,0,0,6,0
Meghalaya,1,2007,Male,2-4 Plus years,0,2,3,3
Meghalaya,1,2007,Male,1 Less than 2 years,0,1,5,0
Meghalaya,1,2007,Male,6 months less than 1 Yr.,0,0,1,0
Meghalaya,1,2007,Male,3 - 6 months,0,0,2,0
Meghalaya,1,2007,Male,Less than 3 months,0,3,4,0
Meghalaya,1,2008,Male,Capital Punishment,0,3,0,0
Meghalaya,1,2008,Male,Life Imprisonment,0,2,14,0
Meghalaya,1,2008,Male,10-13 Plus years,0,3,15,0
Meghalaya,1,2008,Male,7-9 Plus years,0,1,8,0
Meghalaya,1,2008,Male,5-6 Plus years,0,0,6,0
Meghalaya,1,2008,Male,2-4 Plus years,0,3,3,0
Meghalaya,1,2008,Male,1 Less than 2 years,0,8,6,0
Meghalaya,1,2008,Male,6 months less than 1 Yr.,0,2,1,0
Meghalaya,1,2008,Male,3 - 6 months,0,3,6,0
Meghalaya,1,2008,Male,Less than 3 months,0,4,2,0
Meghalaya,1,2009,Male,Capital Punishment,0,3,0,0
Meghalaya,1,2009,Male,Life Imprisonment,0,4,7,0
Meghalaya,1,2009,Male,10-13 Plus years,0,3,3,0
Meghalaya,1,2009,Male,7-9 Plus years,0,1,7,0
Meghalaya,1,2009,Male,5-6 Plus years,0,3,6,0
Meghalaya,1,2009,Male,2-4 Plus years,0,0,4,0
Meghalaya,1,2009,Male,1 Less than 2 years,0,7,6,0
Meghalaya,1,2009,Male,6 months less than 1 Yr.,0,10,6,0
Meghalaya,1,2009,Male,3 - 6 months,0,11,7,0
Meghalaya,1,2009,Male,Less than 3 months,0,9,0,0
Meghalaya,1,2010,Male,Capital Punishment,0,3,0,0
Meghalaya,1,2010,Male,Life Imprisonment,0,4,6,3
Meghalaya,1,2010,Male,10-13 Plus years,0,3,15,0
Meghalaya,1,2010,Male,7-9 Plus years,0,1,4,0
Meghalaya,1,2010,Male,5-6 Plus years,0,0,8,0
Meghalaya,1,2010,Male,2-4 Plus years,0,1,4,2
Meghalaya,1,2010,Male,1 Less than 2 years,0,0,4,0
Meghalaya,1,2010,Male,6 months less than 1 Yr.,0,1,3,0
Meghalaya,1,2010,Male,3 - 6 months,0,2,2,0
Meghalaya,1,2010,Male,Less than 3 months,0,4,0,0
Meghalaya,1,2011,Male,Capital Punishment,0,3,0,0
Meghalaya,1,2011,Male,Life Imprisonment,0,3,1,0
Meghalaya,1,2011,Male,10-13 Plus years,0,0,0,0
Meghalaya,1,2011,Male,7-9 Plus years,0,2,2,0
Meghalaya,1,2011,Male,5-6 Plus years,0,5,1,0
Meghalaya,1,2011,Male,2-4 Plus years,0,5,4,0
Meghalaya,1,2011,Male,1 Less than 2 years,0,2,3,0
Meghalaya,1,2011,Male,6 months less than 1 Yr.,0,2,2,0
Meghalaya,1,2011,Male,3 - 6 months,0,9,2,0
Meghalaya,1,2011,Male,Less than 3 months,0,10,5,4
Meghalaya,1,2012,Male,Capital Punishment,0,3,0,0
Meghalaya,1,2012,Male,Life Imprisonment,0,8,7,4
Meghalaya,1,2012,Male,10-13 Plus years,0,2,5,0
Meghalaya,1,2012,Male,7-9 Plus years,0,1,4,0
Meghalaya,1,2012,Male,5-6 Plus years,0,4,2,0
Meghalaya,1,2012,Male,2-4 Plus years,0,2,7,0
Meghalaya,1,2012,Male,1 Less than 2 years,0,1,3,0
Meghalaya,1,2012,Male,6 months less than 1 Yr.,0,4,5,0
Meghalaya,1,2012,Male,3 - 6 months,0,6,2,0
Meghalaya,1,2012,Male,Less than 3 months,0,0,0,0
Mizoram,1,2001,Male,Capital Punishment,0,0,0,0
Mizoram,1,2001,Male,Life Imprisonment,0,6,3,0
Mizoram,1,2001,Male,10-13 Plus years,0,0,0,0
Mizoram,1,2001,Male,7-9 Plus years,0,0,0,0
Mizoram,1,2001,Male,5-6 Plus years,0,0,0,0
Mizoram,1,2001,Male,2-4 Plus years,3,2,4,0
Mizoram,1,2001,Male,1 Less than 2 years,2,15,11,0
Mizoram,1,2001,Male,6 months less than 1 Yr.,2,18,17,0
Mizoram,1,2001,Male,3 - 6 months,2,19,8,0
Mizoram,1,2001,Male,Less than 3 months,2,28,1,0
Mizoram,1,2002,Male,Capital Punishment,0,0,0,0
Mizoram,1,2002,Male,Life Imprisonment,0,2,8,0
Mizoram,1,2002,Male,10-13 Plus years,0,2,6,0
Mizoram,1,2002,Male,7-9 Plus years,0,0,3,0
Mizoram,1,2002,Male,5-6 Plus years,0,3,2,0
Mizoram,1,2002,Male,2-4 Plus years,2,8,3,0
Mizoram,1,2002,Male,1 Less than 2 years,2,34,23,0
Mizoram,1,2002,Male,6 months less than 1 Yr.,2,29,10,0
Mizoram,1,2002,Male,3 - 6 months,3,22,22,2
Mizoram,1,2002,Male,Less than 3 months,10,50,8,0
Mizoram,1,2003,Male,Capital Punishment,0,0,0,0
Mizoram,1,2003,Male,Life Imprisonment,0,8,8,0
Mizoram,1,2003,Male,10-13 Plus years,0,2,0,0
Mizoram,1,2003,Male,7-9 Plus years,0,2,2,0
Mizoram,1,2003,Male,5-6 Plus years,0,5,10,0
Mizoram,1,2003,Male,2-4 Plus years,2,9,4,1
Mizoram,1,2003,Male,1 Less than 2 years,7,22,10,0
Mizoram,1,2003,Male,6 months less than 1 Yr.,5,25,8,0
Mizoram,1,2003,Male,3 - 6 months,3,31,7,0
Mizoram,1,2003,Male,Less than 3 months,3,17,3,0
Mizoram,1,2004,Male,Capital Punishment,0,0,0,0
Mizoram,1,2004,Male,Life Imprisonment,0,5,13,0
Mizoram,1,2004,Male,10-13 Plus years,0,2,2,0
Mizoram,1,2004,Male,7-9 Plus years,0,3,4,0
Mizoram,1,2004,Male,5-6 Plus years,0,5,15,0
Mizoram,1,2004,Male,2-4 Plus years,2,10,8,0
Mizoram,1,2004,Male,1 Less than 2 years,8,17,8,0
Mizoram,1,2004,Male,6 months less than 1 Yr.,10,28,7,0
Mizoram,1,2004,Male,3 - 6 months,3,21,11,0
Mizoram,1,2004,Male,Less than 3 months,5,12,9,0
Mizoram,1,2005,Male,Capital Punishment,0,0,0,0
Mizoram,1,2005,Male,Life Imprisonment,0,7,10,0
Mizoram,1,2005,Male,10-13 Plus years,0,4,6,0
Mizoram,1,2005,Male,7-9 Plus years,0,4,0,0
Mizoram,1,2005,Male,5-6 Plus years,0,5,1,0
Mizoram,1,2005,Male,2-4 Plus years,0,8,4,0
Mizoram,1,2005,Male,1 Less than 2 years,0,10,6,0
Mizoram,1,2005,Male,6 months less than 1 Yr.,2,15,4,0
Mizoram,1,2005,Male,3 - 6 months,16,21,10,0
Mizoram,1,2005,Male,Less than 3 months,0,9,9,0
Mizoram,1,2006,Male,Capital Punishment,0,0,0,0
Mizoram,1,2006,Male,Life Imprisonment,0,7,8,0
Mizoram,1,2006,Male,10-13 Plus years,0,3,4,0
Mizoram,1,2006,Male,7-9 Plus years,0,2,6,0
Mizoram,1,2006,Male,5-6 Plus years,0,6,0,0
Mizoram,1,2006,Male,2-4 Plus years,0,5,3,0
Mizoram,1,2006,Male,1 Less than 2 years,0,15,10,0
Mizoram,1,2006,Male,6 months less than 1 Yr.,0,28,42,0
Mizoram,1,2006,Male,3 - 6 months,0,32,25,0
Mizoram,1,2006,Male,Less than 3 months,0,0,0,0
Mizoram,1,2007,Male,Capital Punishment,0,0,0,0
Mizoram,1,2007,Male,Life Imprisonment,0,6,3,2
Mizoram,1,2007,Male,10-13 Plus years,0,4,11,0
Mizoram,1,2007,Male,7-9 Plus years,0,5,9,0
Mizoram,1,2007,Male,5-6 Plus years,0,14,2,0
Mizoram,1,2007,Male,2-4 Plus years,0,19,2,0
Mizoram,1,2007,Male,1 Less than 2 years,0,20,4,0
Mizoram,1,2007,Male,6 months less than 1 Yr.,0,29,11,0
Mizoram,1,2007,Male,3 - 6 months,0,41,37,3
Mizoram,1,2007,Male,Less than 3 months,0,34,20,8
Mizoram,1,2008,Male,Capital Punishment,0,0,0,0
Mizoram,1,2008,Male,Life Imprisonment,0,2,8,0
Mizoram,1,2008,Male,10-13 Plus years,0,6,9,0
Mizoram,1,2008,Male,7-9 Plus years,0,5,4,0
Mizoram,1,2008,Male,5-6 Plus years,0,8,4,0
Mizoram,1,2008,Male,2-4 Plus years,0,21,14,5
Mizoram,1,2008,Male,1 Less than 2 years,0,39,13,0
Mizoram,1,2008,Male,6 months less than 1 Yr.,0,28,16,0
Mizoram,1,2008,Male,3 - 6 months,0,21,20,0
Mizoram,1,2008,Male,Less than 3 months,0,45,37,9
Mizoram,1,2009,Male,Capital Punishment,0,0,0,0
Mizoram,1,2009,Male,Life Imprisonment,0,7,4,0
Mizoram,1,2009,Male,10-13 Plus years,0,2,2,0
Mizoram,1,2009,Male,7-9 Plus years,0,6,3,0
Mizoram,1,2009,Male,5-6 Plus years,0,3,2,0
Mizoram,1,2009,Male,2-4 Plus years,0,65,18,2
Mizoram,1,2009,Male,1 Less than 2 years,0,62,9,1
Mizoram,1,2009,Male,6 months less than 1 Yr.,0,38,20,2
Mizoram,1,2009,Male,3 - 6 months,0,29,10,2
Mizoram,1,2009,Male,Less than 3 months,0,37,17,1
Mizoram,1,2010,Male,Capital Punishment,0,0,0,0
Mizoram,1,2010,Male,Life Imprisonment,0,7,8,0
Mizoram,1,2010,Male,10-13 Plus years,0,6,5,0
Mizoram,1,2010,Male,7-9 Plus years,0,10,5,0
Mizoram,1,2010,Male,5-6 Plus years,0,13,8,0
Mizoram,1,2010,Male,2-4 Plus years,0,43,23,3
Mizoram,1,2010,Male,1 Less than 2 years,0,40,25,2
Mizoram,1,2010,Male,6 months less than 1 Yr.,0,51,29,4
Mizoram,1,2010,Male,3 - 6 months,0,44,35,0
Mizoram,1,2010,Male,Less than 3 months,0,43,26,0
Mizoram,1,2011,Male,Capital Punishment,0,0,0,0
Mizoram,1,2011,Male,Life Imprisonment,0,1,3,1
Mizoram,1,2011,Male,10-13 Plus years,0,0,4,0
Mizoram,1,2011,Male,7-9 Plus years,0,3,4,0
Mizoram,1,2011,Male,5-6 Plus years,0,7,9,0
Mizoram,1,2011,Male,2-4 Plus years,0,21,10,5
Mizoram,1,2011,Male,1 Less than 2 years,0,53,19,6
Mizoram,1,2011,Male,6 months less than 1 Yr.,0,47,9,1
Mizoram,1,2011,Male,3 - 6 months,0,91,21,7
Mizoram,1,2011,Male,Less than 3 months,0,25,10,5
Mizoram,1,2012,Male,Capital Punishment,0,0,0,0
Mizoram,1,2012,Male,Life Imprisonment,0,17,10,2
Mizoram,1,2012,Male,10-13 Plus years,0,5,13,6
Mizoram,1,2012,Male,7-9 Plus years,0,4,15,1
Mizoram,1,2012,Male,5-6 Plus years,0,11,10,4
Mizoram,1,2012,Male,2-4 Plus years,0,16,18,4
Mizoram,1,2012,Male,1 Less than 2 years,0,26,9,4
Mizoram,1,2012,Male,6 months less than 1 Yr.,0,23,17,1
Mizoram,1,2012,Male,3 - 6 months,0,27,25,0
Mizoram,1,2012,Male,Less than 3 months,0,11,31,0
Nagaland,1,2001,Male,Capital Punishment,0,0,0,0
Nagaland,1,2001,Male,Life Imprisonment,0,0,4,1
Nagaland,1,2001,Male,10-13 Plus years,0,0,8,2
Nagaland,1,2001,Male,7-9 Plus years,0,4,11,0
Nagaland,1,2001,Male,5-6 Plus years,0,10,4,1
Nagaland,1,2001,Male,2-4 Plus years,0,5,7,1
Nagaland,1,2001,Male,1 Less than 2 years,0,3,1,0
Nagaland,1,2001,Male,6 months less than 1 Yr.,0,2,1,0
Nagaland,1,2001,Male,3 - 6 months,0,0,1,0
Nagaland,1,2001,Male,Less than 3 months,0,0,0,0
Nagaland,1,2002,Male,Capital Punishment,0,0,0,0
Nagaland,1,2002,Male,Life Imprisonment,0,0,2,0
Nagaland,1,2002,Male,10-13 Plus years,0,0,3,0
Nagaland,1,2002,Male,7-9 Plus years,0,1,2,3
Nagaland,1,2002,Male,5-6 Plus years,0,2,1,0
Nagaland,1,2002,Male,2-4 Plus years,0,4,1,0
Nagaland,1,2002,Male,1 Less than 2 years,0,7,0,0
Nagaland,1,2002,Male,6 months less than 1 Yr.,0,3,0,0
Nagaland,1,2002,Male,3 - 6 months,0,0,0,0
Nagaland,1,2002,Male,Less than 3 months,0,0,0,0
Nagaland,1,2003,Male,Capital Punishment,0,0,0,0
Nagaland,1,2003,Male,Life Imprisonment,0,2,3,0
Nagaland,1,2003,Male,10-13 Plus years,0,3,6,2
Nagaland,1,2003,Male,7-9 Plus years,0,8,10,1
Nagaland,1,2003,Male,5-6 Plus years,0,13,7,3
Nagaland,1,2003,Male,2-4 Plus years,0,14,5,2
Nagaland,1,2003,Male,1 Less than 2 years,0,6,2,0
Nagaland,1,2003,Male,6 months less than 1 Yr.,0,1,0,0
Nagaland,1,2003,Male,3 - 6 months,0,0,0,0
Nagaland,1,2003,Male,Less than 3 months,0,0,0,0
Nagaland,1,2004,Male,Capital Punishment,0,0,0,0
Nagaland,1,2004,Male,Life Imprisonment,0,1,5,4
Nagaland,1,2004,Male,10-13 Plus years,0,4,11,3
Nagaland,1,2004,Male,7-9 Plus years,0,10,19,2
Nagaland,1,2004,Male,5-6 Plus years,0,8,30,9
Nagaland,1,2004,Male,2-4 Plus years,0,17,24,2
Nagaland,1,2004,Male,1 Less than 2 years,0,0,11,0
Nagaland,1,2004,Male,6 months less than 1 Yr.,0,0,0,0
Nagaland,1,2004,Male,3 - 6 months,0,0,0,0
Nagaland,1,2004,Male,Less than 3 months,0,0,0,0
Nagaland,1,2005,Male,Capital Punishment,0,0,0,0
Nagaland,1,2005,Male,Life Imprisonment,0,0,3,2
Nagaland,1,2005,Male,10-13 Plus years,0,0,6,3
Nagaland,1,2005,Male,7-9 Plus years,0,0,4,5
Nagaland,1,2005,Male,5-6 Plus years,0,2,17,7
Nagaland,1,2005,Male,2-4 Plus years,0,17,13,2
Nagaland,1,2005,Male,1 Less than 2 years,0,13,8,0
Nagaland,1,2005,Male,6 months less than 1 Yr.,0,6,2,0
Nagaland,1,2005,Male,3 - 6 months,0,3,0,0
Nagaland,1,2005,Male,Less than 3 months,0,0,0,0
Nagaland,1,2006,Male,Capital Punishment,0,0,0,0
Nagaland,1,2006,Male,Life Imprisonment,0,0,0,0
Nagaland,1,2006,Male,10-13 Plus years,0,0,8,1
Nagaland,1,2006,Male,7-9 Plus years,0,1,5,4
Nagaland,1,2006,Male,5-6 Plus years,0,3,13,0
Nagaland,1,2006,Male,2-4 Plus years,0,9,17,0
Nagaland,1,2006,Male,1 Less than 2 years,0,18,21,0
Nagaland,1,2006,Male,6 months less than 1 Yr.,0,10,13,0
Nagaland,1,2006,Male,3 - 6 months,0,3,1,0
Nagaland,1,2006,Male,Less than 3 months,0,0,0,0
Nagaland,1,2007,Male,Capital Punishment,0,0,0,0
Nagaland,1,2007,Male,Life Imprisonment,0,2,5,0
Nagaland,1,2007,Male,10-13 Plus years,0,4,3,0
Nagaland,1,2007,Male,7-9 Plus years,0,5,8,3
Nagaland,1,2007,Male,5-6 Plus years,0,7,10,0
Nagaland,1,2007,Male,2-4 Plus years,0,11,7,3
Nagaland,1,2007,Male,1 Less than 2 years,0,6,10,5
Nagaland,1,2007,Male,6 months less than 1 Yr.,2,3,0,0
Nagaland,1,2007,Male,3 - 6 months,1,0,0,0
Nagaland,1,2007,Male,Less than 3 months,0,0,0,0
Nagaland,1,2008,Male,Capital Punishment,0,0,0,0
Nagaland,1,2008,Male,Life Imprisonment,0,2,5,0
Nagaland,1,2008,Male,10-13 Plus years,0,4,3,0
Nagaland,1,2008,Male,7-9 Plus years,0,10,10,5
Nagaland,1,2008,Male,5-6 Plus years,0,10,14,2
Nagaland,1,2008,Male,2-4 Plus years,0,11,15,11
Nagaland,1,2008,Male,1 Less than 2 years,0,9,16,9
Nagaland,1,2008,Male,6 months less than 1 Yr.,0,3,4,5
Nagaland,1,2008,Male,3 - 6 months,0,6,0,0
Nagaland,1,2008,Male,Less than 3 months,0,0,0,0
Nagaland,1,2009,Male,Capital Punishment,0,0,0,0
Nagaland,1,2009,Male,Life Imprisonment,0,0,12,0
Nagaland,1,2009,Male,10-13 Plus years,0,0,5,0
Nagaland,1,2009,Male,7-9 Plus years,0,5,7,2
Nagaland,1,2009,Male,5-6 Plus years,0,2,6,0
Nagaland,1,2009,Male,2-4 Plus years,0,8,9,1
Nagaland,1,2009,Male,1 Less than 2 years,0,18,12,3
Nagaland,1,2009,Male,6 months less than 1 Yr.,0,13,15,3
Nagaland,1,2009,Male,3 - 6 months,0,11,8,1
Nagaland,1,2009,Male,Less than 3 months,0,4,7,0
Nagaland,1,2010,Male,Capital Punishment,0,0,0,0
Nagaland,1,2010,Male,Life Imprisonment,0,3,0,0
Nagaland,1,2010,Male,10-13 Plus years,0,4,1,0
Nagaland,1,2010,Male,7-9 Plus years,0,3,2,2
Nagaland,1,2010,Male,5-6 Plus years,0,3,2,3
Nagaland,1,2010,Male,2-4 Plus years,0,15,5,2
Nagaland,1,2010,Male,1 Less than 2 years,0,20,8,4
Nagaland,1,2010,Male,6 months less than 1 Yr.,0,15,6,3
Nagaland,1,2010,Male,3 - 6 months,0,14,7,6
Nagaland,1,2010,Male,Less than 3 months,0,13,9,9
Nagaland,1,2011,Male,Capital Punishment,0,0,0,0
Nagaland,1,2011,Male,Life Imprisonment,0,7,16,5
Nagaland,1,2011,Male,10-13 Plus years,0,7,6,0
Nagaland,1,2011,Male,7-9 Plus years,0,8,9,0
Nagaland,1,2011,Male,5-6 Plus years,0,3,3,0
Nagaland,1,2011,Male,2-4 Plus years,0,19,7,0
Nagaland,1,2011,Male,1 Less than 2 years,0,13,6,0
Nagaland,1,2011,Male,6 months less than 1 Yr.,0,5,2,0
Nagaland,1,2011,Male,3 - 6 months,0,7,0,0
Nagaland,1,2011,Male,Less than 3 months,0,0,0,0
Nagaland,1,2012,Male,Capital Punishment,0,0,0,0
Nagaland,1,2012,Male,Life Imprisonment,0,17,9,3
Nagaland,1,2012,Male,10-13 Plus years,0,7,7,1
Nagaland,1,2012,Male,7-9 Plus years,0,8,4,0
Nagaland,1,2012,Male,5-6 Plus years,0,3,2,0
Nagaland,1,2012,Male,2-4 Plus years,0,11,12,2
Nagaland,1,2012,Male,1 Less than 2 years,0,11,5,0
Nagaland,1,2012,Male,6 months less than 1 Yr.,0,11,3,0
Nagaland,1,2012,Male,3 - 6 months,0,3,0,0
Nagaland,1,2012,Male,Less than 3 months,0,1,0,0
Orissa,1,2001,Male,Capital Punishment,0,0,0,0
Orissa,1,2001,Male,Life Imprisonment,3,435,1304,254
Orissa,1,2001,Male,10-13 Plus years,2,64,79,28
Orissa,1,2001,Male,7-9 Plus years,0,60,17,14
Orissa,1,2001,Male,5-6 Plus years,0,154,40,15
Orissa,1,2001,Male,2-4 Plus years,0,35,13,7
Orissa,1,2001,Male,1 Less than 2 years,0,41,28,11
Orissa,1,2001,Male,6 months less than 1 Yr.,0,58,18,17
Orissa,1,2001,Male,3 - 6 months,0,39,20,5
Orissa,1,2001,Male,Less than 3 months,0,3,0,0
Orissa,1,2002,Male,Capital Punishment,0,0,0,0
Orissa,1,2002,Male,Life Imprisonment,0,519,853,260
Orissa,1,2002,Male,10-13 Plus years,0,80,73,81
Orissa,1,2002,Male,7-9 Plus years,0,63,67,59
Orissa,1,2002,Male,5-6 Plus years,0,55,106,35
Orissa,1,2002,Male,2-4 Plus years,3,58,97,30
